siteID,date,observer,forayNumber,startTime,endTime,pathDist
WHEATPKMD1,2018-05-25,,0,,,0
BAKENANMA1,2018-05-26,DTM,1,0945,1120,0
BAKENANMA1,2018-05-26,,0,,,0
QUIMKIMPA1,2018-05-26,AMV,1,1045,1245,900
QUIMKIMPA1,2018-05-26,,0,,,0
TREVDENCO1,2018-05-26,CAW,1,0920,1005,1780
AZARCARPA1,2018-05-27,AMV,1,1100,1240,0
AZARCARPA1,2018-05-27,,0,,,0
BERNDIACO1,2018-05-28,CAW,1,1045,1120,1710
BLOCDAVMD1,2018-05-29,EIE,1,0932,1144,2735
BLOCDAVMD1,2018-05-29,,0,,,0
CAMPPAUFL1,2018-05-29,ERF,1,0930,1100,1970
GERBGIGPA1,2018-05-29,AMV,1,1030,1250,0
HUNTDAVMD2,2018-05-29,JYR,1,0950,1110,1690
GECACARVA1,2018-05-30,EIE,1,0945,1118,1930
GARDVALMD1,2018-05-31,EIE,1,0830,1015,2650
RAVECATPA1,2018-05-31,AMV,1,1000,1100,900
FLAMSCOFL1,2018-06-01,ERF,1,0930,1100,2010
HENJELAFL1,2018-06-03,ERF,1,0930,1129,0
KORNHARFL1,2018-06-03,ERF,1,0730,0900,0
LAFOMELVA1,2018-06-04,JYR,1,0950,1128,1670
BLUEHPKGA1,2018-06-05,AMB,1,0737,0958,1
LYNCPATPA1,2018-06-05,AMV,1,1030,1130,0
DRISMARCO1,2018-06-06,CAW,1,1002,1049,1740
DWORBARPA1,2018-06-06,AMV,1,1100,1230,0
LANDCELVA1,2018-06-06,JYR,1,1000,1130,0
MCCOWALFL1,2018-06-06,ERF,1,0800,0930,0
REIDLOLMA1,2018-06-06,KMB,1,1024,1232,0
PLACGIRFL1,2018-06-07,ERF,1,0730,0900,0
SILVCELFL1,2018-06-07,ERF,1,0930,1100,1920
THERLARMA1,2018-06-07,KMB,1,1020,1240,0
THERLARMA1,2018-06-07,TAH,1,1020,1240,0
ANDRKENVA1,2018-06-08,MAV,1,0734,0904,2574
HANNNANMD1,2018-06-08,JYR,1,1010,1145,2120
HAZZANNMA1,2018-06-08,KMB,1,0924,1109,0
HAZZANNMA1,2018-06-08,TAH,1,0924,1109,0
WIEBFRAMD1,2018-06-08,JYR,1,0800,0953,2240
CHANSYLGA1,2018-06-09,AMB,1,0906,1101,0
GOWAGEOFL1,2018-06-09,ERF,1,0930,1100,2250
MILTMIKVA1,2018-06-09,MAV,1,0951,1105,3489
GRANIANFL1,2018-06-10,ERF,1,0910,1040,1860
GHILCOLGA1,2018-06-11,AMB,1,0812,1006,2
KNOXMIKFL1,2018-06-11,ERF,1,0930,1100,2180
ROMANICMA1,2018-06-11,KMB,1,1026,1150,0
ROMANICMA1,2018-06-11,TAH,1,1026,1150,0
SADLCHRPA1,2018-06-11,AMV,1,0945,1130,0
WILLTINVA1,2018-06-11,MAV,1,0703,0844,1977
YOUNKIMVA1,2018-06-11,MAV,1,0850,1009,1675
ABBOTOMCO1,2018-06-12,CAW,1,1005,1058,1820
BROWANNMD1,2018-06-12,MAV,1,0947,1131,2106
HILLSALMA1,2018-06-12,KMB,1,1016,1225,2687
PFEIJOHFL1,2018-06-12,ERF,1,0930,1100,1820
STRAELEGA1,2018-06-12,AMB,1,0727,0926,1
WILLRAJMD1,2018-06-12,JYR,1,0958,1202,0
COPEHAZPA1,2018-06-13,AMV,1,1030,1130,0
HIGGBETMA1,2018-06-13,KMB,1,1030,1240,0
LEONTESDC1,2018-06-13,JYR,1,0950,1145,3138
WISSSTEGA1,2018-06-13,AMB,1,0739,0924,1
ALEXROBPA1,2018-06-14,AMV,1,1100,1200,1700
ALEXROBPA1,2018-06-14,DLC,1,1100,1200,0
BILLPAIDC1,2018-06-14,JYR,1,0957,1228,0
KINGGEOMA1,2018-06-14,KMB,1,0934,1138,0
WILEKATGA1,2018-06-14,AMB,1,0743,0935,1
ASSMCARMD1,2018-06-15,MAV,1,1003,1126,2949
BYERHEAPA1,2018-06-15,AMV,1,1000,1130,0
DONOLORDC2,2018-06-15,MAV,1,0958,1131,2069
PIEPSUSMA1,2018-06-15,KMB,1,1028,1206,0
WOLFAMYDC1,2018-06-15,JYR,2,1000,1056,1550
CASEWENMA1,2018-05-27,KMB,1,0940,1030,1670
CASEWENMA1,2018-05-27,,1,0940,1030,1030
MCKICAIMA1,2018-07-10,KMB,1,1016,1150,0
MILLMARFL1,2018-04-21,ERF,1,0930,1430,2390
WELLBREFL1,2018-06-04,ERF,1,0930,1100,2100
HOSTMARFL1,2018-05-12,ERF,1,0930,1100,1750
INGRBENFL1,2018-05-30,ERF,1,0930,0957,410
ADAMVICFL1,2018-05-16,ERF,1,0930,1100,2130
ANDRJENFL1,2018-05-09,ERF,1,0930,1100,2250
CARLDAVFL1,2018-04-26,ERF,1,0930,1100,2090
WILLJIMFL1,2018-06-02,ERF,1,0930,1100,1910
SHAHMAUFL1,2018-05-20,ERF,1,0910,1040,0
ROBIRONFL1,2018-05-21,ERF,1,0930,1100,1920
CASEANNFL1,2018-05-08,ERF,1,0930,1100,2010
CHURCARFL1,2018-06-05,ERF,1,0930,1100,1860
LEWASUSMA1,2018-06-21,TAH,1,1051,1309,1867
LEWASUSMA1,2018-06-21,HLC,1,1050,1320,1600
ROSEJOSMA1,2018-06-15,TAH,1,1029,1245,2735
CAMPGINFL1,2018-05-10,ERF,1,0930,1100,1990
DAVIALIVA1,2018-05-30,JYR,1,0950,1150,1459
GOROCARDC1,2018-05-28,JYR,1,0735,0927,3480
WIKACORMD1,2018-07-17,JYR,1,1000,1050,1290
SALOSHEMD1,2018-05-03,JYR,1,1002,1139,2580
SALOSHEMD1,2018-05-03,,,,,
FARYSIMMD1,2018-05-05,EIE,1,0935,1100,2260
FARYSIMMD1,2018-05-05,,,,,
FARYSIMMD1,2018-05-05,,,,,
REITBOBMD1,2018-05-04,EIE,1,1005,1150,2520
REITBOBMD1,2018-05-04,,,,,
JACOSYDMD1,2018-05-08,EIE,1,1000,1102,1782
JACOSYDMD1,2018-05-08,,,,,
FUISLISVA2,2018-05-15,EIE,1,0943,1144,3150
FUISLISVA2,2018-05-15,,0,,,0
COLSKATMD1,2018-06-02,JYR,1,0955,1146,3664
STANJEFMD1,2018-05-01,JYR,1,1015,1155,2740
STANJEFMD1,2018-05-01,,,,,
STANJEFMD1,2018-05-01,,,,,
CAMPROSMD1,2018-05-02,EIE,1,0950,1130,3180
CAMPROSMD1,2018-05-02,,,,,
CAMPGLOMD1,2018-04-30,JYR,1,1025,1237,3310
CAMPGLOMD1,2018-04-30,,,,,
CAMPGLOMD1,2018-04-30,,,,,
GOCHJOAMD1,2018-07-13,MAV,1,0945,1056,2555
FREYFREMD1,2018-07-23,JYR,1,0952,1100,1620
FREYFREMD1,2018-07-23,MAV,2,0954,1052,1554
SHERALEMA1,2018-07-21,KMB,1,0939,1120,0
MALTELIMA1,2018-07-20,KMB,1,1015,1200,1910
VEARRICMA1,2018-07-13,KMB,1,1030,1210,0
KANEBRIMA1,2018-06-17,KMB,1,0954,1205,0
AKREMICMA2,2018-07-23,TAH,1,0904,1047,1738
BAUGSHEVA1,2018-06-08,MAV,1,0941,1126,2735
DONOLORDC2,2018-06-13,MAV,1,0958,1131,2439
MCDOELIVA1,2018-06-07,JYR,1,1020,1151,1640
MCDOELIVA1,2018-06-07,MAV,2,1021,1111,1770
MCDOELIVA1,2018-06-07,JYR,1,1020,1151,1640
MCDOELIVA1,2018-06-07,MAV,2,1021,1111,1770
BALASUCMD1,2018-06-05,RWR,1,1008,1058,1270
BALASUCMD1,2018-06-05,JYR,2,1125,1226,2700
ARGEGIONC1,2018-04-16,RWR,1,1147,1235,820
ARGEGIONC1,2018-04-16,EAF,2,1147,1235,820
BACHMARNC1,2018-04-19,EAF,1,1000,1130,2350
LANGPETMA1,2018-07-24,TAH,1,1100,1239,2655
BAILPATNC1,2018-04-25,EAF,1,1042,1215,2150
HOUSJONGA1,2018-07-25,AMB,1,0836,0939,0
MIRKJOEMA1,2018-07-25,TAH,1,0924,1035,0
ROHRSALMD1,2018-07-25,JYR,1,1005,1047,1000
ROHRSALMD1,2018-07-25,MAV,2,1005,1041,1023
HOYTHARGA1,2018-07-26,AMB,1,0753,0853,0
DOUGSANFL1,2018-05-22,ERF,1,0930,1100,1930
JAKUJULMA1,2018-07-27,TAH,1,0703,0837,2510
PALUMATFL1,2018-05-19,ERF,1,0930,1100,1690
RAUNERIMD2,2018-07-27,MAV,1,0951,1110,3123
VONGJENMD1,2018-07-26,MAV,1,0952,1121,2962
HAGODEBCO1,2018-07-14,CAW,1,1040,1127,2240
BIRDCONCO1,2018-07-10,CAW,1,1010,1056,1640
JEANVICCO1,2018-07-03,CAW,1,1047,1128,1780
LYBAALICO1,2018-06-29,CAW,1,1035,1116,1520
WILTALLCO1,2018-06-28,CAW,1,1035,1102,1390
PHENTRACO1,2018-06-26,CAW,1,1010,1052,1340
NICKSHECO1,2018-06-25,CAW,1,1125,1200,960
RESZJAYCO1,2018-06-18,CAW,1,1005,1052,1940
FRITDENCO1,2018-06-16,CAW,1,1017,1102,2120
PERNMIKMD1,2018-07-28,MAV,1,0950,1114,1323
MARRPETMD2,2018-07-27,JYR,1,1004,1132,1160
PERRCHRMD1,2018-07-28,JYR,1,0955,1040,1800
KESTSABDC1,2018-07-26,JYR,1,0958,1123,2510
CHALMICGA1,2018-07-29,AMB,1,0659,0810,750
ALCOKENGA1,2018-07-28,AMB,1,0854,1024,1340
SAPPBILGA1,2018-07-29,AMB,1,0711,0853,1520
DICKEMMGA1,2018-07-30,AMB,1,0851,1040,1700
BEARKARNC1,2018-05-15,EAF,1,1100,1222,2120
BEARKARNC1,2018-05-15,EAF,2,1312,1330,546
BEEGERLNC1,2018-04-27,EAF,1,1020,1240,3330
BROANANNC1,2018-05-10,EAF,1,1035,1311,4023
BUDNNORNC1,2018-05-01,EAF,1,1045,1245,2240
BURGRENNC1,2018-05-18,EAF,1,1130,1300,2130
BURNDENNC1,2018-05-09,EAF,1,1045,1320,3930
CAMPSUSNC1,2018-06-05,EAF,1,1115,1300,3110
COTTVANNC1,2018-06-13,EAF,1,1015,1220,4000
CRAIJOSNC1,2018-05-19,,,,,
CRAIJOSNC1,2018-07-08,EAF,1,0645,0800,2850
DEBRMARNC1,2018-04-20,EAF,1,0740,0834,1100
HEADDOTGA1,2018-08-05,AMB,1,0707,0819,1200
BELMNIKGA1,2018-08-05,AMB,1,0840,1012,1530
STEPMARGA1,2018-08-03,AMB,1,0848,1019,2420
DURBLAUNC1,2018-06-06,EAF,1,1100,1200,1910
TALEKELGA1,2018-08-07,AMB,1,0740,0924,2340
THOMGRECO1,2018-06-13,CAW,1,1010,1100,1550
HOUSLINCO1,2018-06-05,CAW,1,1025,1115,1710
WARDROYCO1,2018-05-31,CAW,1,1010,1045,950
ROBEKATCO1,2018-05-30,CAW,1,0935,1015,1880
SARGLANCO1,2018-05-29,CAW,1,0950,1040,1550
GERWJOHNC1,2018-07-19,,,,,
HAGACOUNC1,2018-04-23,EAF,1,0802,0932,1550
HAHNMARNC1,2018-04-17,RWR,1,0850,0950,1890
HAHNMARNC1,2018-04-17,EAF,2,0850,0950,1890
HOPKMARGA1,2018-08-09,AMB,1,0708,0902,1550
HOPKMARGA1,2018-08-09,AMB,1,0708,0902,1550
HARABARNC1,2018-05-08,EAF,1,1035,1320,4340
BURGMARCO1,2018-06-27,MMB,1,0930,0945,402
CARRPAGCO1,2018-06-07,MMB,1,1040,1115,1600
HISKSUZCO1,2018-06-21,MMB,1,0930,0955,965
HAZEALICO1,2018-06-14,MMB,1,1040,1115,1206
IVESALINC1,2018-06-07,EAF,1,1045,1110,574
IVESALINC1,2018-06-07,EAF,2,1135,1250,1800
GERKGINCO1,2018-06-04,MMB,1,1115,1145,750
HOUSELICO1,2018-06-19,MMB,1,0950,1025,1207
SULLKELCO1,2018-06-26,MMB,1,1045,1120,874
