siteID,observer,date,startTime,interval,spp,d10,d20,d30,d40,d50,detection
RICHALMA1,KMB,2018-07-03,0000,3,MODO,NA,1,NA,NA,NA,A
RICHALMA1,KMB,2018-07-03,0000,3,AMRO,NA,NA,1,NA,1,A
RICHALMA1,KMB,2018-07-03,0000,3,SOSP,NA,1,NA,NA,1,A
RICHALMA1,KMB,2018-07-03,0000,3,CHSP,NA,NA,NA,NA,1,A
RICHALMA1,KMB,2018-07-03,0000,3,HOSP,NA,NA,NA,NA,1,A
RICHALMA1,KMB,2018-07-03,0000,3,AMRO,NA,NA,NA,1,NA,B
RICHALMA1,KMB,2018-07-03,0000,3,SOSP,NA,1,NA,NA,NA,V
BURNNIKMA1,KMB,2018-07-09,0703,1,AMRO,0,0,0,1,1,A
BURNNIKMA1,KMB,2018-07-09,0703,1,BLJA,0,0,0,0,1,A
BURNNIKMA1,KMB,2018-07-09,0703,1,HOSP,0,2,2,0,0,A
BURNNIKMA1,KMB,2018-07-09,0703,1,MODO,0,0,0,0,1,A
BURNNIKMA1,KMB,2018-07-09,0703,1,TUTI,0,1,0,0,0,A
BURNNIKMA1,KMB,2018-07-09,0703,1,NOCA,0,1,0,0,1,A
BURNNIKMA1,KMB,2018-07-09,0703,1,HOWR,0,0,0,1,0,A
BURNNIKMA1,KMB,2018-07-09,0703,1,AMGO,0,1,0,0,0,A
BURNNIKMA1,KMB,2018-07-09,0703,1,GRCA,0,0,0,1,0,A
BURNNIKMA1,KMB,2018-07-09,0703,2,AMRO,0,0,0,1,0,A
BURNNIKMA1,KMB,2018-07-09,0703,2,BLJA,0,1,0,1,0,A
BURNNIKMA1,KMB,2018-07-09,0703,2,AMRO,0,0,2,0,0,B
BURNNIKMA1,KMB,2018-07-09,0703,2,TUTI,0,0,1,0,0,A
BURNNIKMA1,KMB,2018-07-09,0703,2,HOSP,0,2,2,0,0,A
BURNNIKMA1,KMB,2018-07-09,0703,2,GRCA,0,0,1,0,0,A
BURNNIKMA1,KMB,2018-07-09,0703,2,MODO,NA,NA,NA,NA,1,A
BURNNIKMA1,KMB,2018-07-09,0703,2,MODO,NA,NA,1,NA,NA,V
BURNNIKMA1,KMB,2018-07-09,0703,3,GRCA,NA,1,NA,NA,NA,B
BURNNIKMA1,KMB,2018-07-09,0703,3,AMRO,NA,NA,NA,NA,1,A
BURNNIKMA1,KMB,2018-07-09,0703,3,HOSP,1,2,NA,2,NA,A
BURNNIKMA1,KMB,2018-07-09,0703,3,NOCA,NA,1,NA,NA,1,A
BURNNIKMA1,KMB,2018-07-09,0703,3,GRCA,NA,NA,NA,1,NA,A
BURNNIKMA1,KMB,2018-07-09,0703,3,BLJA,NA,NA,NA,1,1,A
BURNNIKMA1,KMB,2018-07-09,0703,3,MODO,NA,1,NA,NA,NA,V
JAKUSTEMA1,KMB,2018-07-07,0659,1,BCCH,0,0,0,0,2,A
JAKUSTEMA1,KMB,2018-07-07,0659,1,NOCA,0,0,0,1,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,1,GRCA,0,0,0,1,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,1,TUTI,0,0,0,1,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,1,BHCO,0,0,0,1,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,1,CARW,0,0,1,0,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,1,GRCA,1,0,0,0,0,V
JAKUSTEMA1,KMB,2018-07-07,0659,1,AMRO,0,0,0,0,1,A
